Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
Assassin's Creed II,PS3,2009,Action,91,8.6,M
Assassin's Creed,X360,2007,Adventure,81,7.7,M
Forza Motorsport 3,X360,2009,Racing,92,8,E
Super Mario Advance,GBA,2001,Platform,84,7.8,E
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,81,8.7,T
Batman: Arkham City,PS3,2011,Action,96,8.6,T
Grand Theft Auto V,XOne,2014,Action,97,7.9,M
Mario Kart: Super Circuit,GBA,2001,Racing,93,8.3,E
Super Mario World,GBA,2001,Platform,nan,,
Pokemon Stadium,N64,1999,Strategy,nan,,
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,66,7.1,E
Call of Duty: World at War,PS3,2008,Shooter,85,7.6,M
Uncharted 4: A Thief's End,PS4,2016,Shooter,93,7.9,T
Dr. Mario,GB,1989,Puzzle,nan,,
Final Fantasy XIII,PS3,2009,Role-Playing,83,7.3,T
Pokemon Pinball,GB,1999,Misc,nan,,
Final Fantasy IX,PS,2000,Role-Playing,94,8.9,T
Assassin's Creed III,X360,2012,Action,84,6.7,M
Final Fantasy X-2,PS2,2003,Role-Playing,85,6.6,T
Donkey Kong 64,N64,1999,Platform,nan,,
Call of Duty: Advanced Warfare,XOne,2014,Shooter,81,5.4,M
Minecraft,PS3,2014,Misc,nan,,
Assassin's Creed II,X360,2009,Action,90,8.8,M
Tomb Raider II,PS,1997,Action,85,,T
Madden NFL 2004,PS2,nan,Sports,94,8.5,E
Tomodachi Life,3DS,2013,Simulation,nan,,
New Super Mario Bros. U,WiiU,2012,Platform,84,8.1,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,89,8.8,T
Super Mario Bros. 3,GBA,2003,Platform,nan,,
Professor Layton and the Curious Village,DS,2007,Puzzle,85,8.6,E
Super Mario Land 3: Wario Land,GB,1994,Platform,nan,,
FIFA Soccer 13,X360,2012,Action,90,6.1,E
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,nan,,
Diablo III,PC,2012,Role-Playing,88,4,M
Medal of Honor: Rising Sun,PS2,2003,Shooter,68,7.6,T
Kirby's Dream Land,GB,1992,Platform,nan,,
Microsoft Flight Simulator,PC,1996,Simulation,nan,,
Guitar Hero II,PS2,2006,Misc,92,8.5,T
Fable III,X360,2010,Role-Playing,80,6.5,M
Mario & Sonic at the Olympic Games,DS,2008,Sports,nan,,
Resident Evil 5,PS3,2009,Action,84,7.5,M
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,90,8,E
Super Mario Bros.,GB,1999,Platform,nan,,
FIFA Soccer 11,PS3,2010,Sports,89,8,E
Resident Evil,PS,1996,Action,91,9,M
Grand Theft Auto: Vice City Stories,PSP,2006,Action,86,8,M
Tony Hawk's Pro Skater,PS,1999,Sports,92,9.2,T
Warzone 2100,PS,1999,Strategy,nan,,
Spyro the Dragon,PS,1998,Platform,nan,,
Guitar Hero III: Legends of Rock,PS2,2007,Misc,82,8.2,T
Link's Crossbow Training,Wii,2007,Shooter,68,7.1,T
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,nan,,
Fallout 3,X360,2008,Role-Playing,93,8.5,M
Uncharted: Drake's Fortune,PS3,2007,Action,88,8.1,T
Madden NFL 06,PS2,2005,Sports,88,8,E
Diddy Kong Racing,N64,1997,Racing,nan,,
Monster Hunter Freedom 3,PSP,2010,Role-Playing,nan,,
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,nan,,
Dr. Mario,NES,1990,Puzzle,nan,,
StarCraft II: Wings of Liberty,PC,2010,Strategy,93,8.2,T
Assassin's Creed,PS3,2007,Adventure,81,7.3,M
God of War III,PS3,2010,Action,92,8.7,M
Crash Team Racing,PS,1999,Racing,88,9,E
LEGO Star Wars: The Complete Saga,DS,2007,Action,80,5.4,E
Driver 2,PS,2000,Action,62,7.7,T
Batman: Arkham City,X360,2011,Action,94,8.7,T
The Last of Us,PS4,2014,Action,nan,,
The Simpsons: Hit & Run,PS2,2003,Racing,nan,,
Tony Hawk's Pro Skater 2,PS,2000,Sports,98,7.7,T
The Lord of the Rings: The Two Towers,PS2,2002,Action,82,8.2,T
Tomb Raider,PS,1996,Action,91,8.6,T
Animal Crossing: City Folk,Wii,2008,Simulation,73,7.6,E
Uncharted: The Nathan Drake Collection,PS4,2015,Action,86,8.1,T
The Legend of Zelda: A Link to the Past,SNES,1991,Action,nan,,
The Legend of Zelda: The Wind Waker,GC,2002,Action,96,8.9,E
Guitar Hero III: Legends of Rock,Wii,2007,Misc,86,8.4,T
Luigi's Mansion: Dark Moon,3DS,2013,Action,86,8.4,E
Forza Motorsport 4,X360,2011,Racing,91,8.2,E
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,nan,,
Madden NFL 2005,PS2,2004,Sports,91,7.9,E
Guitar Hero III: Legends of Rock,X360,2007,Misc,85,7.9,T
Pitfall!,2600,1981,Platform,nan,,
Madden NFL 07,PS2,2006,Sports,84,8.2,E
Halo 5: Guardians,XOne,2015,Shooter,84,6.4,T
Spider-Man: The Movie,PS2,2002,Action,76,7.9,E
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,nan,,
Call of Duty: Infinite Warfare,PS4,2016,Shooter,77,3.4,M
God of War,PS2,2005,Action,94,8.9,M
Splatoon,WiiU,2015,Shooter,81,8.5,E10+
Nintendo Land,WiiU,2012,Misc,77,7.9,E10+
Tony Hawk's Pro Skater 3,PS2,2001,Sports,97,7.5,T
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,86,8.9,E
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,94,8.7,M
Zelda II: The Adventure of Link,NES,1987,Adventure,nan,,
Need for Speed: Most Wanted,PS2,2005,Racing,82,9.1,T
Michael Jackson: The Experience,Wii,2010,Misc,56,8.3,E10+
Call of Duty: Advanced Warfare,PS3,2014,Shooter,nan,4.8,M
Resistance: Fall of Man,PS3,2006,Shooter,86,8.1,M
Sonic the Hedgehog,GEN,1991,Platform,nan,,
Kingdom Hearts II,PS2,2005,Role-Playing,87,9,E10+
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,nan,,
Super Mario 3D World,WiiU,2013,Platform,93,9,E
Minecraft,PS4,2014,Misc,nan,,
Asteroids,2600,1980,Shooter,nan,,
Call of Duty: Advanced Warfare,X360,2014,Shooter,nan,4.9,M
FIFA 15,PS3,2014,Sports,nan,4.5,E
Fable II,X360,2008,Role-Playing,89,6.5,M
Namco Museum,GBA,2001,Misc,79,7.3,E
Batman: Arkham Asylum,PS3,2009,Action,91,8.9,T
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,91,9.3,M
Assassin's Creed: Revelations,PS3,2011,Action,80,7.5,M
Fallout 4,XOne,2015,Role-Playing,88,6.2,M
FIFA 14,X360,2013,Sports,84,4.2,E
Daxter,PSP,2006,Platform,85,8.7,E10+
Warcraft II: Tides of Darkness,PC,1995,Strategy,nan,,
FIFA Soccer 06,PS2,2005,Sports,80,7.8,E
EyeToy Play,PS2,2003,Misc,80,7.5,E
Gran Turismo 5 Prologue,PS3,2007,Racing,80,7.1,E
Assassin's Creed: Revelations,X360,2011,Action,80,7.2,M
FIFA 12,X360,2011,Sports,nan,,
Teenage Mutant Ninja Turtles,NES,1989,Action,nan,,
Street Fighter IV,PS3,2009,Fighting,94,7.3,T
Excitebike,NES,1984,Racing,nan,,
Frogger,PS,1997,Action,nan,,
Madden NFL 2003,PS2,2002,Sports,95,7.7,E
Half-Life,PC,1997,Shooter,96,9.1,M
Super Mario World 2: Yoshi's Island,SNES,1995,Platform,nan,,
FIFA Soccer 07,PS2,2006,Sports,nan,,
Street Fighter II Turbo,SNES,1992,Fighting,nan,,
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,91,7.9,T
Battlefield 1,PS4,2016,Shooter,88,8.4,M
God of War II,PS2,2007,Action,93,8.9,M
World Soccer Winning Eleven 9,PS2,2005,Sports,nan,8.2,E
Fallout: New Vegas,X360,2010,Role-Playing,84,8.1,M
Forza Motorsport 2,X360,2007,Racing,90,8.3,E
Carnival Games,Wii,2007,Misc,56,6,E
Watch Dogs,PS4,2014,Action,80,6.3,M
Namco Museum Vol.3,PS,1996,Misc,nan,,
Tekken Tag Tournament,PS2,2000,Fighting,85,8.5,T
Far Cry 4,PS4,2014,Shooter,85,7.7,M
Star Fox 64,N64,1997,Shooter,nan,,
Golf,NES,1984,Sports,nan,,
Namco Museum: 50th Anniversary,PS2,2005,Misc,61,tbd,E10+
Left 4 Dead 2,X360,2009,Shooter,89,8.6,M
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,92,9.2,M
Assassin's Creed: Unity,PS4,2014,Action,70,4.9,M
Batman: Arkham Knight,PS4,2015,Action,87,7.6,M
The Legend of Zelda: Skyward Sword,Wii,2011,Action,93,8,E10+
Fallout 3,PS3,2008,Role-Playing,90,8,M
Professor Layton and the Diabolical Box,DS,2007,Puzzle,84,8.8,E10+
Donkey Kong Land,GB,1994,Platform,nan,,
EA Sports Active,Wii,2009,Sports,81,8.7,E
Tony Hawk's Underground,PS2,2003,Sports,90,8.7,T
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,86,8.7,T
The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,94,8.1,M
NBA 2K16,PS4,2015,Sports,87,6.7,E10+
Tekken 5,PS2,2005,Fighting,88,8.6,T
Dragon Warrior III,NES,1988,Role-Playing,nan,,
MotorStorm,PS3,2006,Racing,84,7.4,T
Nintendogs + cats,3DS,2011,Simulation,nan,,
World Soccer Winning Eleven 8 International,PS2,2004,Sports,91,9.1,E
Sports Champions,PS3,2010,Sports,76,7.9,E10+
Namco Museum Vol.1,PS,1995,Misc,nan,,
The Legend of Zelda: Link's Awakening,GB,1992,Action,nan,,
Call of Duty: Ghosts,PS4,2013,Shooter,78,3.7,M
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,59,4,E
Tom Clancy's The Division,PS4,2016,Shooter,80,7,M
Big Brain Academy: Wii Degree,Wii,2007,Misc,68,6.9,E
Resident Evil Director's Cut,PS,1996,Action,nan,,
Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,nan,,
LEGO Indiana Jones: The Original Adventures,X360,2008,Action,77,7.5,E10+
The Sims: Unleashed,PC,2002,Simulation,79,8,T
Ratchet & Clank: Size Matters,PSP,2007,Platform,nan,,
Harry Potter and the Sorcerer's Stone,PS,2001,Action,64,7.5,E
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,nan,,
Resident Evil 3: Nemesis,PS,1999,Action,nan,,
Super Paper Mario,Wii,2007,Platform,85,7.9,E
Spyro: Year of the Dragon,PS,2000,Platform,91,8.8,E
Assassin's Creed IV: Black Flag,PS3,2013,Action,88,8.1,M
FIFA Soccer 2005,PS2,2004,Sports,81,7.6,E
Pokémon Trading Card Game,GB,1998,Strategy,nan,,
Friend Collection,DS,2009,Misc,nan,,
Tony Hawk's Pro Skater 4,PS2,2002,Sports,94,8.5,T
Star Wars Battlefront (2015),XOne,2015,Shooter,nan,,
MySims,DS,2007,Simulation,67,7.3,E
Midnight Club 3: DUB Edition,PSP,2005,Racing,74,8.4,E10+
Banjo-Kazooie,N64,1998,Platform,nan,,
SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,82,7.9,M
Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,90,8.7,E
Pokemon Snap,N64,1999,Simulation,nan,,
Pro Evolution Soccer 2008,PS2,2007,Sports,82,7.9,E
Resident Evil 4,PS2,2005,Action,96,8.9,M
Guitar Hero: World Tour,Wii,2008,Misc,86,7.6,T
FIFA Soccer 10,PS3,2009,Sports,91,7.6,E
Star Wars: Battlefront,PS2,2004,Shooter,82,8.7,T
Doom II: Hell on Earth,PC,1994,Shooter,nan,,
The Simpsons: Road Rage,PS2,2001,Racing,64,7.7,T
Luigi's Mansion,GC,2001,Action,78,8.5,E
Battlefield 4,PS4,2013,Shooter,85,6.9,M
Star Wars: Battlefront II,PS2,2005,Shooter,84,9,T
Just Dance 2014,Wii,2013,Misc,nan,6.2,E10+
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,70,8,E
WWF SmackDown!,PS,2000,Fighting,nan,,
Croc: Legend of the Gobbos,PS,1997,Platform,nan,,
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,78,7.8,M
The Getaway,PS2,2002,Action,72,6.8,M
Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,nan,,
James Bond 007: Agent Under Fire,PS2,2001,Shooter,72,7.9,T
LEGO Star Wars: The Video Game,PS2,2005,Action,nan,,
Rugrats in Paris: The Movie,PS,2000,Action,nan,,
FIFA Soccer 11,X360,2010,Sports,88,7.5,E
Spyro 2: Ripto's Rage!,PS,1999,Platform,nan,,
Left 4 Dead,X360,2008,Shooter,89,7.9,M
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,nan,,
Assassin's Creed: Unity,XOne,2014,Action,72,4.1,M
Kung Fu,NES,1985,Action,nan,,
Resident Evil 5,X360,2009,Action,83,7.5,M
Assassin's Creed: Brotherhood,X360,2010,Action,89,8.3,M
FIFA Soccer 2004,PS2,nan,Sports,84,6.4,E
Battlefield 4,PS3,2013,Shooter,80,5.8,M
Batman: Arkham Asylum,X360,2009,Action,92,8.7,T
Battlefield 4,X360,2013,Shooter,79,5.6,M
Battlefield: Bad Company 2,X360,2010,Shooter,88,8.6,M
Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,nan,,
Guitar Hero: On Tour,DS,2008,Misc,71,8.8,E10+
Clubhouse Games,DS,2006,Misc,83,8.4,E
Monster Hunter 4,3DS,2013,Role-Playing,nan,,
Borderlands,X360,2009,Shooter,84,8.2,M
Tekken 4,PS2,2002,Fighting,79,8.3,T
Final Fantasy III,SNES,1994,Role-Playing,nan,,
Grand Theft Auto 2,PS,1998,Action,70,8,T
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,93,8.2,M
Spider-Man 2,PS2,2004,Action,80,8.9,T
F-1 Race,GB,1990,Racing,nan,,
FIFA Soccer 2003,PS2,2002,Sports,88,6.7,E
LittleBigPlanet 2,PS3,2011,Platform,91,8.4,E
Crash Bash,PS,2000,Misc,68,8.2,E
Assassin's Creed Syndicate,PS4,2015,Action,76,6.8,M
LEGO Batman: The Videogame,X360,2008,Action,76,7.9,E10+
Destiny,XOne,2014,Shooter,75,5.5,T
WWF War Zone,PS,1998,Fighting,nan,,
The Legend of Zelda: Majora's Mask,N64,2000,Action,nan,,
Far Cry 3,PS3,2012,Shooter,90,8.5,M
Rugrats: Search For Reptar,PS,1998,Adventure,nan,,
English Training: Have Fun Improving Your Skills!,DS,2006,Misc,nan,,
James Bond 007: Nightfire,PS2,2002,Shooter,77,8.5,T
Ratchet & Clank,PS2,2002,Platform,nan,,
Monster Hunter X,3DS,2015,Action,nan,,
Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,60,7.2,T
The Legend of Zelda: Spirit Tracks,DS,2009,Action,87,7.8,E10+
Max Payne,PS2,2001,Shooter,80,8.5,M
Assassin's Creed IV: Black Flag,X360,2013,Action,86,7.9,M
The Lord of the Rings: The Return of the King,PS2,2003,Action,85,8.7,T
Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,nan,,
Gears of War: Ultimate Edition,XOne,2015,Shooter,82,7.5,M
True Crime: Streets of LA,PS2,2003,Action,77,8,M
Professor Layton and the Unwound Future,DS,2008,Puzzle,86,9.2,E10+
Gran Turismo (PSP),PSP,2009,Racing,nan,,
FIFA 16,XOne,2015,Sports,84,4.4,E
Wii Music,Wii,2008,Misc,63,4.6,E
Tekken,PS,1995,Fighting,nan,,
Madden NFL 16,PS4,2015,Sports,83,5.9,E
Gran Turismo 6,PS3,2013,Racing,81,7.7,E
Halo: The Master Chief Collection,XOne,2014,Shooter,85,7.2,M
007: Tomorrow Never Dies,PS,1999,Shooter,nan,,
Super Mario Maker,WiiU,2015,Platform,88,8.7,E
WWF SmackDown! 2: Know Your Role,PS,2000,Fighting,nan,,
Baseball,NES,1983,Sports,nan,,
Killer Instinct,SNES,1995,Fighting,nan,,
Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,nan,,
God of War: Chains of Olympus,PSP,2008,Action,91,8.6,M
Enter the Matrix,PS2,2003,Action,62,8.1,T
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,83,8,T
Dance Central,X360,2010,Misc,82,7.6,T
L.A. Noire,PS3,2011,Adventure,89,7.7,M
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,89,9.1,E
Animal Crossing,GC,2001,Simulation,87,8.9,E
FIFA Soccer 08,PS2,2007,Sports,83,6.5,E
Club Penguin: Elite Penguin Force,DS,2008,Adventure,nan,8,E
Spider-Man,PS,2000,Action,87,9,E
Mario Party 9,Wii,2012,Misc,73,6.8,E
Need for Speed III: Hot Pursuit,PS,1998,Racing,88,,E
Star Wars Episode I Racer,N64,1999,Racing,nan,,
Sonic Rush,DS,2005,Platform,82,8.5,E
Dragon Warrior IV,NES,1990,Role-Playing,nan,,
Rhythm Heaven,DS,2008,Misc,83,9,E
Fallout: New Vegas,PS3,2010,Role-Playing,82,7.8,M
Personal Trainer: Cooking,DS,2006,Misc,81,7.8,E
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,93,8,M
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,91,8.9,E
Resident Evil 6,PS3,2012,Shooter,74,5.4,M
Mass Effect 2,X360,2010,Role-Playing,96,8.9,M
Dragon Ball Z: Budokai,PS2,2002,Fighting,67,7.9,T
Madden NFL 2002,PS2,2001,Sports,94,7.9,E
World Class Track Meet,NES,1986,Sports,nan,,
Donkey Kong,GB,1994,Platform,nan,,
The Sims: Vacation,PC,2002,Simulation,75,7.8,T
LEGO Batman: The Videogame,Wii,nan,Action,74,7.9,E10+
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,66,6.9,E
The Sims 4,PC,2014,Simulation,70,3.9,T
Borderlands 2,X360,2012,Shooter,89,8.2,M
